original,translate
It:Biscotti Biologici Integrali,Biscotti Biologici Integrali
En:Dark Chocolates With Coffee,Cioccolatini fondenti con caffè
Fr:Chocolats-Au-Cafe,Cioccolatini al caffè
Cioccolata Con Caffè,Cioccolata Con Caffè
Cacao Polvere,Cacao Polvere
Polpette Al Pomodoro,Polpette Al Pomodoro
Polpette Di Carne,Polpette Di Carne
Miele Di Tiglio,Miele Di Tiglio
Pizza-Al-Salame,Pizza Al Salame
Burrata Di Bufala,Burrata Di Bufala
Vinagres,Vinagres
Vinagres De Manzana,Aceti di mele
Quartirolo Lombardo,Quartirolo Lombardo
En:Brodi Disidratati,Brodi Disidratati
En:Brodo,Brodo
En:Dadi Da Brodo,Dadi Da Brodo
Gnocchi-Ripeni,Gnocchi Ripeni
Pain De Semoule,Il dolore di Semoule
En:Horse Fresh Meat,Carne fresca di cavallo
En:Horse Meat Patties,Polpette di carne di cavallo
Bevande Energetica,Energia elettrica
Panzerotti,Panzerotti
Cibi Pronti,Cibi Pronti
Piatti Pronti Refrigerati,Piatti Pronti Refrigerati
Zuppe Refrigerate,Zuppe Refrigerate
Lattuga,Lattuga
En:Asparagus Soups,Zuppe di asparagi
Confitture Di Arancia Amara,Confitture Di Arancia Amara
Graines De Courge Et Dérivés,Semi di zucca e derivati
Graines De Courge,Semi di zucca
En:Pear-Applesauces,Salse di pere
En:Sugar Free Candies,Caramelle senza zucchero
Pasta Di Piccolo Farro,Pasta Di Piccolo Farro
Casarecce Di Farro Dicocco Bio,Casarecce Di Farro Dicocco Bio
En:Creme Spalmabili Salate,Creme Spalmabili Salate
Miele Di Castagno,Miele Di Castagno
Olio Di Oliva Olio Di Puglia,Olio Di Oliva Olio Di Puglia
Pasta Di Semola Di Grano,Pasta Di Semola Di Grano
En:Reconstituted Turkey Breast Slices,Fette di petto di tacchino ricostituite
Uva Sultanina,Uva Sultanina
Farro Perlato,Farro Perlato
Légumes Tiges,Steli di ortaggi
Asperges,Asperges
Asperges Vertes,Asperges Vertes
Asparagi,Asparagi
Asparagi In Scatola,Asparagi In Scatola
Cereali Prima Colazione,Cereali Prima Colazione
Tisane Alla Frutta,Tisane Alla Frutta
Tisane In Bustina,Tisane a Bustina
Tisane Alla Frutta In Bustina,Tisane Alla Frutta In Bustina
En:Anise Syrups,Sciroppi all'anice
Lasagne,Lasagne
En:Dried Beans,Fagioli secchi
Fagioli Cannellini,Fagioli Cannellini
En:Soup Mixes,Miscele per zuppa
Ravioli Ai Funghi,Ravioli Ai Funghi
Bresaola Punta D’Anca,Bresaola Punta D'Anca
It:Merenda,Uncinetto
Cipolle,Cipolle
Ro:Covrigi,Covrigi
Ro:Covrigi Cu Ulei De Măsline,Bagel con olio d'oliva
Farine Di Noci,Farine Di Noci
Farine Di Castagne,Farine Di Castagne
Composte Di Fragola,Composte Di Fragola
Zuppa Di Farro,Zuppa Di Farro
Tortellini Ricotta & Épinards,Tortellini Ricotta & Épinards
Tortelloni Ricotta Et Épinards,Tortelloni Ricotta Et Épinards
It:Tortelloni Ricotta E Spinaci,Tortelloni Ricotta E Spinaci
It:Tortellini Al Prosciutto,Tortellini Al Prosciutto
Yaourts Aromatisés,Yogurt aromatizzati
En:Fermented-Milk-Flavoured-Yogurt-With-Sugar-And-Cream,Yogurt aromatizzato al latte fermentato con zucchero e panna
Noci Pecan,Noci Pecan
En:Cocoa Beans,Fave di cacao
Semi-Skimmed Milk Uht,Latte semiscremato Uht
Sundried Tomato,Pomodoro secco
Farine Di Riso,Farine Di Riso
Baking,Panificazione
Mostarde,Mostarde
Fregula,Fregula
Fermented Dairy Desserts With Fruits,Dessert a base di latticini fermentati con frutta
Fruit Yogurts,Yogurt alla frutta
Frittelle Dolci,Frittelle Dolci
Galettes Multicéréales Soufflées,Torte soufflé multicereali
Miele-Italiano,Miele Italiano
Fr:Pâtes Complètes,Pasta integrale
En:Tomato,Pomodoro
En:Snack Al Mais,Snack Al Mais
En:Chips De Pommes De Terre,Chips De Pommes De Terre
En:Soy Beans,Fagioli di soia
En:Squash,Squash
En:Sesamo,Sesamo
Farro Al Vapore,Farro Al Vapore
Calzone,Calzone
En:Cup Cake,Torta in tazza
Buongiorno Natura Marmellata Ciliegie,Buongiorno Natura Marmellata Ciliegie
Confitures De Mûres,Marmellata di more
Whole Or Semi-Whole Durum Wheat Pasta,Pasta di grano duro integrale o semintegrale
Italian Pasta,Pasta italiana
Fr:Paccherri,Paccherri
Paccheri,Paccheri
Trote,Trogolo
Trote Affumicate,Trote Affumicate
Fr:Cordons-Bleus,Cordoni blu
Fr:Cordons-Bleus-De-Dinde,Cordoni blu di legno
En:Breaded Meat Cutlets,Cotolette di carne impanate
Cotoletta Di Pollo Impanata,Cotoletta Di Pollo Impanata
Cooked Chicken Breast Slices,Fette di petto di pollo cotte
En:Caster Sugars,Zuccheri semolati
Cola Con Zucchero,Cola Con Zucchero
Es:Bio Cola,Colla biologica
Charcuteries-Italiennes,Salumi italiani
Petto Di Pollo,Petto Di Pollo
Mortadelle Pur Porc,Mortadelle Pur Porc
Mortadelle De Bologne,Mortadelle De Bologne
Pâtes Sèches Au Blé Complet,Pasta secca integrale
Quesos Italianos,Formaggi italiani
Burrata De Vaca,Burrata De Vaca
Bevande Disidratate,Spostamento Disidratato
Mousse,Schiuma
En:Pistachio Ice Cream Tubs,Pistachio Ice Cream Tubs
Thons Au Naturel,Tonno naturale
En:Red-Beers,Birre rosse
Olio Di Avocado,Olio Di Avocado
Hamburger Di Tacchino,Hamburger Di Tacchino
En:Ground Turkey Meats,Carne di tacchino macinata
En:Ground Poultry Meat,Carne di pollame macinata
Wurstel Di Pollo E Tacchino,Wurstel Di Pollo E Tacchino
Tagliata-Di-Pollo,Tagliata Di Pollo
Fesa-Di-Tacchino,Fesa Di Tacchino
En:Prodotti A Base Di Carne,Prodotti A Base Di Carne
En:Prodotti Impanati,Prodotti Impanati
Caramelle Al Miele,Caramelle Al Miele
Assortimento Di Cioccolatini,Assortimento Di Cioccolatini
En:White Chocolates With Hazelnuts,Cioccolatini bianchi con nocciole
En:Small Brioches,Piccole brioches
En:Peach Soy Yogurts,Yogurt di soia alla pesca
En:Cherry Soy Yogurts,Yogurt di soia alla ciliegia
En:Mais Snack,Mais Snack
En:Dessert  Alimenti Surgelati  Dessert Surgelati  Gelati E Sorbetti  Gelato,Dessert Alimenti Surgelati Dessert Surgelati Gelati E Sorbetti Gelato
Shortbread,Pasta frolla
Biscotti-Al-Farro-Integrale-Biologici,Biscotti Al Farro Integrale Biologici
Carta Raccolta Differenziata,Carta Raccolta Differenziata
Artichauts,Carciofi
Artichauts En Conserve,Carciofi in scatola
En:Panificati Al Kamut,Panificati Al Kamut
Spaghetti Semi Integrali Di Grano Senatore Cappelli Biologico,Spaghetti Semi Integrali Di Grano Senatore Cappelli Biologico
Smaakmakers,I sapori
Sauzen,Salse
Fr:Pesto D'Artichauts,Pesto D'Artichauts
Yogurt Al Miele,Yogurt al miele
Bread White From Wheat Flour,Pane bianco da farina di frumento
Pandori,Pandori
Meat Tortellinis,Tortellini di carne
Fr:Tortellini Au Jambon Cru,Tortellini Au Jambon Cru
En:Whole Or Semi-Whole Durum Wheat Spaghetti,Spaghetti di grano duro integrali o semintegrali
Châtaignes,Castagne
Dried Apricots,Albicocche secche
Noix De Coco,Noce di cocco
En:Tomato Sauces With Olives,Salse di pomodoro con olive
Vellutata Di Pomodori,Vellutata Di Pomodori
En:Bruschetta Spreads,Bruschetta Spreads
Postres Helados,Gelato dessert
Bolleria,Bolleria
Yogurt Al Caramello,Yogurt Al Caramello
Yaourts Sans Lactose,Yaourts senza lattosio
Pane Di Brioche,Pane Di Brioche
Salted Snacks,Snack salati
Brioches Au Chocolat,Brioches al cioccolato
En:Pecorino,Pecorino
En:Pecorino Romano,Pecorino Romano
En:Cooked Vegetables,Verdure cotte
En:Cooked Beetroots,Barbabietole cotte
Olio Di Sesamo,Olio Di Sesamo
En:Salmon Steaks,Bistecche di salmone
Refined Olive Oils,Oli di oliva raffinati
En:Meals With Tuna,Pasti con il tonno
Formaggio Molle,Formaggio Molle
Mozzarella Fior Di Latte,Mozzarella Fior Di Latte
Mais Dolce,Mais Dolce
Preparazione A Base Di Patate,Preparazione A Base Di Patate
En:Chocolates Filled With Liquor And Cherries,Cioccolatini ripieni di liquore e ciliegie
Boeri,Boeri
Grana Padano Grattugiano,Grana Padano Grattugiano
Parmigiano Reggiano Grattugiato,Parmigiano Reggiano Grattugiato
En:Canned Tomato Pulp,Canned Tomato Pulp
Fr:Sauce Tomate Bio,Salsa Tomate Bio
Zuppe-Di-Legumi,Zuppe Di Legumi
Zuppe-Surgelate,Zuppe Surgelate
Brotstangen,Brotstangen
Fr:Pain À L'Huile D'Olive,Pane all'olio d'oliva
En:Fruit Confectioneries,Pasticceria di frutta
Frutta Ricoperta Di Cioccolato,Frutta Ricoperta Di Cioccolato
Sardine In Salsa Di Pomodoro,Sardine In Salsa Di Pomodoro
Cioccolato Al Cocco,Cioccolato Al Cocco
Uovo Di Cioccolato,Uovo Di Cioccolato
Uova Di Pasqua,Uova Di Pasqua
Food,Cibo
En:Tuna And Vegetable Salads,Insalate di tonno e verdure
En:Canned Prepared Mixed Tuna And Vegetable Salad,Insalata mista di tonno e verdure preparata in scatola
Lardo,Lardo
Latti Di Mandorle,Latti Di Mandorle
Béchamel Sauces,Salsa besciamella
Fr:Allumettes De Porc,Abbinamenti con la carne di maiale
Pancetta,Pancetta
Bevanda-Alla-Pera,Bevanda Alla Pera
Succo-Di-Frutta,Succo Di Frutta
Goat Milks,Latte di capra
Dolcificanti Artificiali,Dolcificanti Artificiali
En:Sucralose,Sucralosio
Fr:Maïs À Pop Corn,Pop Corn
Riso Vialone Nano,Riso Vialone Nano
Prosciutto Di Norcia,Prosciutto Di Norcia
It:Conchiglioni,Conchiglioni
Spremuta-Di-Arance-Bionde,Spremuta Di Arance Bionde
Jambons Crus Fumés,Prosciutti crudi affumicati
Specks,Pancetta
It:Speck Alto Adige,Speck Alto Adige
Yaourts Au Lait De Vache,Yogurt di latte vaccino
Carottes Râpées,Carote grattugiate
En:Coni Gelato,Coni Gelato
Yaourts Multifruits,Multifrutti Yaourts
Pane Di Grano Duro,Pane Di Grano Duro
En:Latticini  Cibi Fermentati  Prodotti Lattiero-Caseari Fermentati  Formaggi  Formaggi Italiani  Cream Cheeses  Mascarpone,Latticini Cibi Fermentati Prodotti Lattiero Caseari Fermentati Formaggi Formaggi Italiani Cream Cheeses Mascarpone
En:Vegetable Hamburger,Hamburger di verdure
En:Pineapple Juices From Concentrate,Succhi di ananas da concentrato
En:Dried Sourdough,Pasta madre essiccata
Sciroppo Di Menta,Sciroppo Di Menta
Zuppe Di Zucca,Zuppe Di Zucca
Hamburger-Di-Tacchino,Hamburger Di Tacchino
Pasta Di Acciughe,Pasta Di Acciughe
Fish Preparations,Preparazioni di pesce
Anchovy Paste,Pasta di acciughe
Yogurt Di Capra,Yogurt Di Capra
Matière Grasse De Beurre,Grasso di burro
Torrone Alle Mandorle,Torrone Alle Mandorle
Torrone Croccante Alle Mandorle,Torrone Croccante Alle Mandorle
Fermenti Per Yogurt,Fermenti Per Yogurt
Preparato Per Pancake,Preparato Per Pancake
En:Pastry Helpers,Aiutanti pasticceri
Preparati Per Torte,Preparati Per Torte
Frappè Proteico,Frappè Proteico
En:Aides Culinaires,Aiuti culinari
En:Préparations Pour Desserts,Preparazione del dessert
En:Préparations Pour Panna Cotta,Preparazione della panna cotta
Panna Cotta,panna cotta
Misti Per Panna Cotta,Misti Per Panna Cotta
Arachidi-Tostate-E-Salate,Arachidi Tostate E Salate
Amido Di Frumento,Amido Di Frumento
Zucchero A Velo,Zucchero A Velo
Zuccheri Di Vaniglia,Zuccheri Di Vaniglia
En:Vanillin Sugars,Zuccheri vanigliati
En:Sandwiches Filled With Cold Cuts,Panini ripieni di salumi
Panini Al Prosciutto,Panini Al Prosciutto
En:Sandwich Made With Loaf Bread,Panino fatto con pane di segale
Nectars D'Abricot,Nettari d'Abricot
It:Carciofini-Interi,Carciofini Interi
Marinated Anchovy Fillets,Filetti di acciughe marinate
Marinated Anchovy Fillets With Vegetable Oil,Filetti di acciughe marinate con olio vegetale
Patate Surgelate,Patate Surgelate
Puffed Salty Snacks Made From Potato,Snack salati soffiati a base di patate
Snack Al Riso,Snack Al Riso
Chips Di Patate,Chips Di Patate
Gallette Farro,Gallette Farro
Snack Sesamo,Snack Sesamo
Huiles De Fruits Et Graines De Fruits,Oli e semi di frutta
Huiles De Pépins De Raisins,Olio di semi d'uva
Sauces Béchamel,Salsa besciamella
Œufs De Poules,Uova di gallina
Œufs Frais,Uova fresche
Œufs De Poules Élevées En Plein Air,Uova da allevamento all'aperto
Zucchero Di Cocco,Zucchero Di Cocco
En:Puffed Salty Snacks Made From Cheese,Snack salati soffiati a base di formaggio
It:Latte A Lunga Conservazione,Latte A Lunga Conservazione
Fromages Triple-Crèmes,Formaggi a tripla crema
Aceites Y Grasas,Oli e grassi
Grasas Vegetales,Grassi vegetali
Productos Del Olivo,Prodotti d'oliva
Aceites Vegetales,Oli vegetali
Aceites De Oliva,Olio d'oliva
Aceites De Oliva Virgen Extra,Oli extravergine di oliva
Barretta,Barretta
Ricciarelli,Ricciarelli
Aromatisierte Milch,Latte aromatizzato
Schokoladenmilch,Latte al cioccolato
Trinkschokolade,Cioccolato da bere
Infuso,Infuso
Filetti Di Alici,Filetti Di Alici
Muffin Al Mirtillo,Muffin Al Mirtillo
Ghiaccioli,Ghiaccioli
Pasta Di Grano Duro All'Uovo,Pasta Di Grano Duro All'Uovo
Gherigli Di Noci,Gherigli Di Noci
Dolciario Da Forno,Dolciario Da Forno
Panna Fresca,Panna Fresca
Acini Di Pepe,Acini Di Pepe
Green Lentils,Lenticchie verdi
Risotti Ai Funghi,Risotti Ai Funghi
Nettare Di Mela,Nettare Di Mela
Frullato Di Mela,Frullato Di Mela
Origano,Origano
Yogurt Al Lampone,Yogurt Al Lampone
En:Fruit Muffins,Muffin alla frutta
Peperonata,Peperonata
Edam,Edam
Olio Di Mais,Olio Di Mais
En:Prodotti-Da-Forno,Prodotti Da Forno
En:Wafer Ripieni,Wafer Ripieni
En:Squeezed Orange Juices,Succhi d'arancia spremuti
En:Farina,Farina
En:Cornflakes,Cornflakes
Ribollita,Ribollita
Mix Di Semi,Mescolare in Semi
Pastasauzen,Pastasauzen
Tomatensauzen,Salse al pomodoro
Farines De Légumineuses,Farine di legumi
Farines De Pois Chiche,Farine di Pois Chiche
En:Breakfast Biscuit With Reduced Sugar,Biscotto per la colazione con zucchero ridotto
Peperoni In Scatola,Peperoni In Scatola
En:Roasted Cocoa Beans,Fave di cacao tostate
En:Crisps,Crisps
En:Potato Crisps,Potato Crisps
Fromages Sans Lactose,Formaggi senza lattosio
Laits Pasteurisés,Latte pastorizzato
Laits Microfiltrés,Latte microfiltrato
Laits Entiers Pasteurisés,Latte intero pastorizzato
Formaggi A Pasta Dura,Formaggi A Pasta Dura
Crunchy Mueslis With Chocolate,Mueslis croccanti con cioccolato
Crunchy Muesli With Chocolate Not Fortified With Vitamins And Chemical Elements,Muesli croccante con cioccolato non arricchito con vitamine ed elementi chimici
Cibo Vegan,Cibo Vegan
Filetti Di Sardine,Filetti Di Sardine
En:Sardine Fillets In Olive Oil,Filetti di sardine in olio d'oliva
En:Panetonne,Panetonne
Refeições,Pasti
Pratos De Massa,Piatti di pasta
En:Gnocchi Ripieni,Gnocchi Ripieni
Egg Pastas,Pasta all'uovo
Fresh Egg Pasta,Pasta fresca all'uovo
Fresh Pasta Stuffed With Meat,Pasta fresca ripiena di carne
It:Primi Piatti,Primi Piatti
Yogurt Alla Pera,Yogurt Alla Pera
Salsiccia,Salsiccia
Confitures D'Airelles Rouges,Marmellata di mirtilli rossi
Сос Арабиата,Salsa Arabiata
Succhi,Succhi
Poires,Pere
Pulpe De Poire,Polpa di pera
White Rices,Risi bianchi
White Basmati Rices,White Basmati Rices
Confettura Di Ribes Rosso,Confettura Di Ribes Rosso
Funghi Champignon Interi,Funghi Champignon Interi
Fagioli Comuni In Scatola,Fagioli Comuni In Scatola
Soft Amaretti,Soft Amaretti
Hu:Biscotte,Biscotte
En:Mueslis-With-Chocolate,Mueslis al cioccolato
En:Cibi E Bevande A Base Vegetale  Bevande  Bevande A Base Di Piante  Bevande Istantanee  Cereals-Based Beverages  Orzo Solubile,Cibi E Bevande A Base Vegetale Bevande Bevande A Base Di Piante Bevande Istantanee Cereals Based Beverages Orzo Solubile
Namazi,Namazi
En:Salted Spreads,Creme salate
En:Cheese Spreads,Formaggi spalmabili
Ananas In Scatola,Ananas In Scatola
En:Dried Chickpeas,Ceci secchi
It:Grano Cotto,Grano Cotto
Carote,Carote
Vanilla Yogurt,Yogurt alla vaniglia
Skimmed Milks,Latte scremato
En:Pane Da Hamburger,Pane Da Hamburger
En:Pani Speciali,Pani Speciali
Farina Per Dolci,Farina Per Dolci
En:Fresh Egg Pasta,Pasta fresca all'uovo
Pappardelle,Pappardelle
Tilsit,Tilsit
En:Fermented Milk Drinks With Fruits,Bevande al latte fermentato con frutta
Yogurt Greco Senza Lattosio,Yogurt Greco Senza Lattosio
Peperoni Grigliati,Peperoni Grigliati
Peperoni,Peperoni
Zucchine,Zucchine
Verdure Grigliate,Verdure Grigliate
Nocciole Arrostite,Nocciole Arrostite
Salsa Di Pomodoro,Salsa Di Pomodoro
En:Vegeterai-Prosciutto,Vegeterai Prosciutto
Affettato,Affettato
Cono Al Caffè,Cono Al Caffè
Ru:Печенька,Biscotto
Tramezzini,Tramezzini
Carne-Di-Pollo,Carne Di Pollo
Preparato Effervescente Granulare,Preparato Effervescente Granulare
En:Filled Cakes,Torte ripiene
En:Chocolate Cereal Balls,Palline di cereali al cioccolato
Preparati A Base Di Miele,Preparati A Base Di Miele
Miscele Di Miele E Propoli,Miscele Di Miele E Propoli
Propoli,Propoli
Distilled Beverages,Bevande distillate
Hard Liquors,Liquori forti
Liqueurs,Liquori
Goûters Et Desserts Pour Bébé,Merende e dessert per bambini
Dès 8 Mois,Da 8 mesi
Biscuits Pour Bébé,Biscotti per bambini
Lievito Alimentare,Lievito Alimentare
Lievito In Fiocchi,Lievito In Fiocchi
It:Prodotti-Per-L-Infanzia,Prodotti Per L Infanzia
Biscotti Per Neonati,Biscotti Per Neonati
En:Powdered Biscuits,Biscotti in polvere
Aceti Di Vino Rosso,Aceti Di Vino Rosso
Fiocchi Di Mais,Fiocchi Di Mais
Sughi All'Arrabbiata,Sughi All'Arrabbiata
Sardines En Conserve,Sardine in scatola
Sardines À L'Huile,Sarde sott'olio
Sardines À L'Huile D'Olive,Sarde in olio d'oliva
En:Mackerel,Sgombro
Blue-Veined Cheeses,Formaggi erborinati
Taleggio,Taleggio
Petits Pois,Piselli
Petits Pois Surgelés,Piselli congelati
En:Aliments À Base De Fruits Et De Légumes,Alimenti a base di frutta e verdura
En:Fruits Et Produits Dérivés,Frutta e derivati
En:Pâtes De Fruits,Pasta alla frutta
Tonno Ortaggi,Tonno Ortaggi
En:Italian Honeys,Mieli italiani
En:Frutti Di Mare  Pesci  Fatty Fishes  Tonno  Tonno Al Naturale,Frutti Di Mare Pesci Fatty Fishes Tonno Tonno Al Naturale
En:Seafood,Frutti di mare
Pești,Pesci
Conserve De Pește,Pesce in scatola
Conserve De Ton,Conservare il Ton
Fr:Compotes De Figue,Composte di fichi
Alkoholiniai Gėrimai,Bevande alcoliche
Tapenade,Tapenade
En:Filled Drop Cookies,Biscotti a goccia ripieni
En:Dragées,Dragees
Amaranto,Amaranto
En:Amaranth Flours,Farine di amaranto
Grano Saraceno,Grano Saraceno
Burrata Di Mucca,Burrata Di Mucca
Mozzarella Per Pizza,Mozzarella Per Pizza
Succo Di Mela Da Concentrato,Succo Di Mela Da Concentrato
Sugo Con Molluschi,Sugo Con Molluschi
Latte Al Cioccolato,Latte Al Cioccolato
Sorbetto Al Limone,Sorbetto Al Limone
It:Gocce Di Cioccolato Fondente,Gocce Di Cioccolato Fondente
Pasta Brisée,Pasta rotta
It:Piadina Integrale,Piadina Integrale
It:Piadina Romagnola,Piadina Romagnola
Sirops D'Agave,Sirops D'Agave
It:Sciroppo Di Agave,Sciroppo Di Agave
Fr:Cappuccino,Cappuccino
Es:Pasta Integral,Pasta integrale
Brodo Liquido,Brodo Liquido
Bevanda Dolce Analcolica,Bevanda Dolce Analcolica
Formaggio,Formaggio
Primo Sale,Primo Sale
It:Biscotti Vegani,Biscotti Vegani
It:Biscotti-Vegani,Biscotti Vegani
En:Aliments Et Boissons À Base De Végétaux  Boissons  Boissons Chaudes  Boissons À Base De Végétaux  Infusions,Alimenti e bevande a base vegetale Bevande Bevande calde Bevande a base vegetale Infusi
Schokoladen Mit Mandeln,Cioccolato con mandorle
Milchschokolade Mit Mandeln,Cioccolato al latte con mandorle
Chicles,Chicle
Chicles Sin Azúcar,Gomma da masticare senza zucchero
En:Brioche Filled With Chocolate Drops,Brioche ripiena di gocce di cioccolato
Chocolats Noirs Aux Noisettes,Cioccolatini alla nocciola fondente
Cereali Colazione,Cereali Colazione
Cioccolato Con Caramello,Cioccolato Con Caramello
Fr:Chocolats Noirs À La Figue,Cioccolatini fondenti al fico
Harissas,Harissas
Harissa Du Cap Bon,Harissa Du Cap Bon
En:Frozen Cod Fillets,Filetti di merluzzo congelati
Sunflower Seeds,Semi di girasole
Roasted Sunflower Seeds,Semi di girasole tostati
Sunflower Seed Grilled And Salted,Semi di girasole grigliati e salati
Przyprawy,Spezie
Sosy,Sosy
Piimatoode,Latticini
Juust,Formaggio
En:Cow Cheeses,Formaggi di mucca
En:Marshmallows Coated With Chocolate,Marshmallow ricoperti di cioccolato
Omogeneizzati,Omogeneizzati
Birra-Analcolica,Birra Analcolica
Kiwi,Kiwi
Sauces Aux Légumes,Salse vegetali
Ajvar,Ajvar
En:Bell Pepper Sauces,Salse al peperone
En:Eggplant Sauces,Salse a base di melanzane
En:Wholegrain Rice,Riso integrale
Fresh Goat Cheese,Formaggio di capra fresco
Cheese From Goat'S Milk Fresh,Formaggio di latte di capra fresco
Sidri,Sidri
Sidri Frizzanti,Sidri Frizzanti
Riso-Al-Latte,Riso Al Latte
En:Peach Compotes,Composte di pesche
Yogurt Greco Alla Frutta,Yogurt Greco Alla Frutta
Protein Cookies,Biscotti proteici
En:Bevande Energetiche,Bevande Energetiche
En:Seaweed Salads,Insalate di alghe
Ru:Нори,Nori
En:Mueslis With Nuts,Mueslis con noci
En:Tomato Ketchup,Ketchup di pomodoro
En:Refrigerated Squeezed Juices,Succhi di frutta spremuti refrigerati
En:Refrigerated Squeezed Orange Juices,Succhi d'arancia spremuti refrigerati
Frappè Alla Frutta,Frappè Alla Frutta
Frullato,Frullato
Aromatic-Herbs,Erbe aromatiche
Parsley,Prezzemolo
Dried Aromatic Plants,Piante aromatiche essiccate
Dried Parsley,Prezzemolo essiccato
It:Dry Spice,Spezia secca
Barbecuesaucen,Barbecue
Leguminosas,Legumi
Granos De Leguminosas,Legumi in chicchi
Birre Forti,Birre Forti
Bibite Gassate Alla Frutta Esotica,Bibite Gassate Alla Frutta Esotica
En:Energy Drinks With Alcohol,Bevande energetiche con alcol
Grūdai Ir Bulvės,Cereali e patate
Sūrūs Užkandžiai,Snack salati
